instances,feature_DominantPairs,feature_SmallerBetterPairs,feature_CapacityFraction,feature_CapFracDistanceFromOneHalf,feature_CorrelationCoefficient,feature_ApproximationGap,feature_CoeffVarWeights,feature_CoeffVarProfits,feature_CoeffVarEffics,feature_PossibleItemFixProportion,feature_SubsetSumLikeness,feature_ModBalasZemelMeasure,feature_MaxCardinality,feature_MinCardinality,feature_CardinalityGap,feature_FirstWeight,feature_FirstProfit,feature_PolyfitLinear,feature_PolyfitQuadratic,feature_PolyfitCubic,feature_BeforeAfterSplitRatio,feature_EvenOddLikeness,feature_GreedyUnusedCapacity,feature_ReducedDominantPairs,feature_ReducedSmallerBetterPairs,feature_ReducedCapacityFraction,feature_ReducedCapFracDistanceFromOneHalf,feature_ReducedCorrelationCoefficient,feature_ReducedApproximationGap,feature_ReducedCoeffVarWeights,feature_ReducedCoeffVarProfits,feature_ReducedCoeffVarEffics,feature_ReducedSubsetLikeness,feature_ReducedModBalasZemelMeasure,feature_ReducedMaxCardinality,feature_ReducedMinCardinality,feature_ReducedCardinalityGap,feature_ReducedFirstWeight,feature_ReducedFirstProfit,feature_ReducedPolyfitLinear,feature_ReducedPolyfitQuadratic,feature_ReducedPolyfitCubic,feature_ReducedBeforeAfterSplitRatio,feature_ReducedGreedyUnusedCapacity,algo_Expknap,algo_Minknap,algo_Combo,source
AlmostStrong001,0.0117837837837838,0.964942942942943,0.00497626056951604,0.990047478860968,0.999471473118042,0.188896367544564,0.320189441416287,0.255364247780842,0.249568758012531,0.827,0.001,0.00031285070564613,0.068,0.002,0.066,0.002002002002002,0.123499142367067,0.99894322557675,0.998943400536713,0.998943607202228,0.0245777861291518,0.01,0.409665529398267,0.0590805215754806,0.965922839091276,0.151610828509618,0.696778342980764,0.985627253884275,0.595278823126923,0.33054616931097,0.142834305008742,0.218991355853193,0.00578034682080925,0.00254895584095739,0.393063583815029,0.0751445086705202,0.317919075144509,0.01,0.389189189189189,0.971461083599457,0.971472608928566,0.971732912676778,0.332204234694763,0.409665529398267,0.00419162,5.65849e-05,5.18509e-05,AlmostStronglyCorrelated
AlmostStrong002,0.00560560560560561,0.982522522522522,0.00995209527402233,0.980095809451955,0.999904252801993,0.181505328596803,0.331656507554996,0.274840813005152,0.359323072502916,0.758,0.001,0.000451155942383794,0.096,0.004,0.092,0.001001001001001,0.104795737122558,0.999808514771513,0.999808521765662,0.999809181760495,0.0371628633201892,0.01,0.466524583286852,0.0209183498508282,0.983196735365728,0.161091231410656,0.677817537178687,0.998542099177868,0.533616187989556,0.329934306367285,0.18046336032371,0.329935389228381,0.00413223140495868,0.0025480239161644,0.396694214876033,0.0826446280991736,0.31404958677686,0.00390625,0.308093994778068,0.997086323830544,0.997087080762962,0.99708819264388,0.340583864559203,0.466524583286852,2.28151,0.000371159,0.000234316,AlmostStronglyCorrelated
AlmostStrong003,0.00914114114114114,0.969023023023023,0.0149266694540556,0.970146661091889,0.99970593803712,0.0846803681755145,0.34005712293003,0.282006119326096,0.202143663672559,0.803,0.001,0.00025225158072294,0.121,0.007,0.114,0.003,0.10414827890556,0.999411962546678,0.999413545713245,0.999414133745426,0.0498479256383133,0.01,0.274471446975237,0.0490003107842122,0.954211126074795,0.308057491289199,0.383885017421603,0.990111999439786,0.283017277707546,0.259960734822401,0.135136211020165,0.0479417158210465,0.0050761421319797,0.00256402715020532,0.49238578680203,0.187817258883249,0.304568527918782,0.0961538461538462,0.404129793510324,0.98032177143465,0.980335779898776,0.980685116180517,0.483436326555654,0.274471446975237,0.0112542,5.82771e-05,5.73638e-05,AlmostStronglyCorrelated
AlmostStrong004,0.00890690690690691,0.966096096096096,0.0199008500017207,0.960198299996559,0.999712048972677,0.134777376654632,0.337083889155338,0.286385355437574,0.212876851178333,0.629,0.001,0.000630668652514484,0.143,0.009,0.134,0.003,0.0866425992779783,0.999424180861148,0.999426047057056,0.99942667557289,0.0623198314660711,0.01,0.459419746885485,0.0256574633933125,0.964347636045749,0.147360374134365,0.705279251731271,0.997661466574884,0.313067784765895,0.331845671218065,0.222030591671601,0.207447897896113,0.00269541778975741,0.00259867037751181,0.38544474393531,0.0754716981132075,0.309973045822102,0.00817438692098093,0.20125786163522,0.995328401888348,0.995348284441469,0.995359594961,0.32502886576219,0.459419746885485,0.00290518,8.26496e-05,8.50448e-05,AlmostStronglyCorrelated
AlmostStrong005,0.00480680680680681,0.986980980980981,0.0248759002725798,0.950248199454841,0.999928387490572,0.136553857350798,0.335046816674556,0.268957173296523,0.310331305489919,0.684,0.004,0.000476164092151642,0.154,0.012,0.142,0.001,0.128384279475983,0.999856780109495,0.999856781462446,0.999856803398497,0.0690700847305875,0.004,0.425652617416086,0.0146674703636729,0.987020293349407,0.246460886609777,0.507078226780446,0.999234117945404,0.339900362318835,0.324085610030973,0.180636499438941,0.29282276810303,0.0126582278481013,0.00255771182254994,0.487341772151899,0.132911392405063,0.354430379746835,0.00321543408360129,0.319565217391304,0.998468822466129,0.998479979160694,0.998479992743591,0.47922498131705,0.425652617416086,8.94475,0.000231778,0.000231786,AlmostStronglyCorrelated
AlmostStrong006,0.00936136136136136,0.975279279279279,0.029852222116838,0.940295555766324,0.999681355941561,0.189394988232039,0.341383807346647,0.269745475606624,0.25550900819311,0.591,0.002,0.000716727413912839,0.185,0.014,0.171,0.002,0.129613733905579,0.999362813417158,0.999362828639525,0.999362917738431,0.0894469021458731,0.002,0.541588758840968,0.0222925355961455,0.977299966441344,0.188700665867286,0.622598668265429,0.998018073758768,0.379767919604691,0.349057627417025,0.207056396592369,0.24255801419705,0.00488997555012225,0.00254758285736031,0.452322738386308,0.0929095354523227,0.359413202933985,0.00483091787439614,0.259896729776248,0.996040075549161,0.996073553541134,0.996078338267937,0.426538513040548,0.541588758840968,2.50337,0.000170427,0.000185894,AlmostStronglyCorrelated
AlmostStrong007,0.00617817817817818,0.976776776776777,0.0348272116343356,0.930345576731329,0.999869525674599,0.131668946648427,0.337862671587647,0.287394522794876,0.291430035152834,0.579,0.001,0.000738282712893399,0.194,0.017,0.177,0.001,0.0886877828054299,0.999739068372748,0.999739365744893,0.999739540727193,0.0969423048552449,0.01,0.470024381852041,0.0148625721072277,0.97628096369189,0.199334199415395,0.601331601169211,0.999252870205784,0.271951749619648,0.346306881971063,0.24294746057042,0.288722837798184,0.00237529691211401,0.00254931786155817,0.460807600950119,0.102137767220903,0.358669833729216,0.00235849056603774,0.183177570093458,0.998506298614496,0.998506754615057,0.998518662179774,0.442896001088154,0.470024381852041,0.0190643,9.75982e-05,9.14156e-05,AlmostStronglyCorrelated
AlmostStrong008,0.0116236236236236,0.973951951951952,0.0398016854723546,0.920396629055291,0.999490826706469,0.0170507899375614,0.336062599178547,0.252311254875056,0.37100900583143,0.956,0.001,6.1787458958317e-05,0.206,0.019,0.187,0.001001001001001,0.156405990016639,0.998981912670381,0.998983001887316,0.998983692020028,0.105631524380721,0.01,0.0634510348611071,0.127906976744186,0.804439746300211,0.545036875831218,0.090073751662435,0.933414699726047,0.0485664680212101,0.0447929399954618,0.0315315746993707,0.00381992298369955,0.0227272727272727,0.00257381982183546,0.590909090909091,0.5,0.0909090909090909,0.732718894009217,0.812796208530806,0.871263001664665,0.871431155996623,0.872369126527378,0.562832958189001,0.0634510348611071,7.45517e-06,1.45973e-05,1.25036e-05,AlmostStronglyCorrelated
AlmostStrong009,0.0132452452452452,0.952908908908909,0.0447764409142893,0.910447118171421,0.999341939359911,0.0956708037825038,0.32808148771841,0.273131118148375,0.35516087868477,0.611,0.001,0.000630774548914809,0.21,0.023,0.187,0.001,0.0984042553191489,0.998684311763628,0.998687373202432,0.99868743197753,0.108911600837941,0.01,0.38880022442843,0.0289799379853179,0.943484483078472,0.247539608985392,0.504920782029216,0.996637800336596,0.181984260820682,0.307696621820568,0.21537905740699,0.116755584802009,0.0025706940874036,0.00254843338961142,0.475578406169666,0.141388174807198,0.334190231362468,0.00881057268722467,0.187183811129848,0.993286905059768,0.993298243300711,0.993696277535217,0.460202514078709,0.38880022442843,0.0122869,0.000146352,0.000119418,AlmostStronglyCorrelated
AlmostStrong010,0.0101121121121121,0.959439439439439,0.0497526907088177,0.900494618582365,0.999616241469509,0.0463259810207764,0.340920066291767,0.290827801293983,0.20530406345222,0.777,0.001,0.000342216821568427,0.23,0.024,0.206,0.002,0.085278276481149,0.999232630209629,0.999233772503114,0.999234147853492,0.127247257228523,0.01,0.214333846879875,0.0400355512463136,0.920171292368602,0.3991161888338,0.201767622332399,0.992626504867256,0.113672120830708,0.18726664545987,0.131664371811788,0.0146822039865816,0.00448430493273543,0.00255277482018612,0.52914798206278,0.286995515695067,0.242152466367713,0.270588235294118,0.407488986784141,0.985307378164986,0.985312355834179,0.986295009625471,0.532914344344347,0.214333846879875,0.00147734,3.82733e-05,3.19948e-05,AlmostStronglyCorrelated
