instance,feat_n,feat_dist_mean,feat_dist_sd,feat_dist_CV,feat_dist_min,feat_dist_max,feat_dist_range,feat_dist_median,feat_dist_skew,feat_dist_kurt,feat_dist_lt_mean,feat_dist_distinct,feat_dist_mode_freq,feat_dist_mode_value,feat_dist_mode_quantity,feat_norm_dist_mean,feat_norm_dist_sd,feat_norm_dist_CV,feat_norm_dist_min,feat_norm_dist_max,feat_norm_dist_range,feat_norm_dist_median,feat_norm_dist_skew,feat_norm_dist_kurt,feat_dist_centroid_mean,feat_dist_centroid_sd,feat_dist_centroid_CV,feat_dist_centroid_min,feat_dist_centroid_max,feat_dist_centroid_range,feat_dist_centroid_median,feat_dist_centroid_skew,feat_dist_centroid_kurt,feat_centroid_coord_X,feat_centroid_coord_Y,feat_nn_dist_mean,feat_nn_dist_sd,feat_nn_dist_CV,feat_nn_dist_min,feat_nn_dist_max,feat_nn_dist_range,feat_nn_dist_median,feat_nn_angle_mean,feat_nn_angle_sd,feat_nn_angle_CV,feat_nn_angle_min,feat_nn_angle_max,feat_nn_angle_range,feat_nn_angle_median,feat_mst_dists_mean,feat_mst_dists_sd,feat_mst_dists_CV,feat_mst_dists_min,feat_mst_dists_max,feat_mst_dists_range,feat_mst_dists_median,feat_mst_dist_len,feat_mst_dist_sum,feat_mst_degree_mean,feat_mst_degree_sd,feat_mst_degree_CV,feat_mst_degree_min,feat_mst_degree_max,feat_mst_degree_range,feat_mst_degree_median,feat_rect_area,feat_chull_area,feat_chull_perimeter,feat_chull_points_frac,feat_chull_edges_mean,feat_chull_edges_sd,feat_chull_edges_CV,feat_cluster_count,feat_cluster_outlier_prop,feat_cluster_count_rel_nodes,feat_cluster_core_prop,feat_cluster_edge_prop,feat_cluster_size_mean,feat_cluster_size_sd,feat_cluster_size_CV,feat_cluster_centroid_dist_mean,feat_cluster_centroid_dist_sd,feat_cluster_centroid_dist_CV,feat_cluster_centroid_dist_min,feat_cluster_centroid_dist_max,feat_cluster_centroid_dist_range,feat_cluster_centroid_dist_median,perf_LKH,perf_MAOS,CLASS
a280,280,121.46831377231952,62.37720376918382,0.513526547228636,0.0,294.15642097360376,294.15642097360376,116.27553482998908,0.3317669775687162,-0.6538604385345836,0.5302596632371522,5.157164590907919e-05,314,40.0,1,173.52616253188503,89.11029109883403,0.513526547228636,0.0,420.2234585337196,420.2234585337196,166.1079068999844,0.3317669775687158,-0.6538604385345828,128.9804226085348,48.18551250108114,0.373587801362132,12.535988627343931,219.08308192691305,206.5470932995691,132.9191535768068,-0.3032872417181859,-0.7826903188328682,188.6226318484385,115.26369687660012,11.920578914510664,2.1255291446303635,0.1783075436078866,0.0,25.5550625999976,25.5550625999976,11.428571428571429,2.304882018978732,0.8833478950709046,0.3832508075455881,0.0,3.141592653589793,3.141592653589793,2.677945044588987,12.52722345602778,2.6580921712855763,0.2121852604143155,11.428571428571429,25.5550625999976,14.126491171426167,11.428571428571429,279,0.0002570913754083,1.9928571428571429,0.6813477040964847,0.3418949052813901,1,4,3,2.0,91428.57142857142,84742.85714285714,1138.0412919311257,0.0428571428571428,94.8367743275938,69.64828924188102,0.7344017100507401,2,0.0071428571428571,0.0071428571428571,0.95,0.0428571428571429,139.0,81.0,0.5827338129496403,99.58066901497394,47.07651983963354,0.4727475754612037,10.375485528369394,249.18458383776135,238.809098309392,100.57067916341734,2579.0,2579.0,ANY
ar9152,9152,8083.289980911754,5125.054939457507,0.6340308156159241,0.0,33201.69423387909,33201.69423387909,7197.723338281655,1.2603815718672151,2.0737061982701235,0.5768434277838786,4.7771661014682026e-08,3219,0.0,1,63.522907512076486,40.27548086017688,0.634030815615926,0.0,260.9170470245901,260.9170470245901,56.56364116527824,1.2603815718672258,2.0737061982701386,44.70780702802436,28.80173523447872,0.6442216057796084,0.7488824805816422,183.4549706777932,182.7060881972116,40.75289683474325,1.8283817302337455,4.990341212549998,79.94053732515323,326.6730554148576,0.3630085401747088,0.6594271850008296,1.8165610778288035,0.0,36.81001683520119,36.81001683520119,0.1309760314341971,1.2909997021572297,1.095893655674402,0.8488721212275957,0.0,3.141592653589793,3.141592653589793,1.2014627451391755,0.8509437118999557,0.8128869441675375,0.9552769857744804,0.0090004065132106,36.81001683520119,36.80101642868798,0.6678477989082086,9151,1.463744648335103e-06,1.9997814685314683,1.1229098475258692,0.5615162782513798,1,12,11,2.0,39012.90412966516,26662.18718185004,669.7993826199898,0.0019667832167832,37.21107681222166,49.3372678612549,1.3258758436426246,20,0.0053540209790209,0.0021853146853146,0.9904938811188811,0.0041520979020978,455.15,1904.711743939224,4.18480005259634,38.86763850608278,21.707473854899018,0.5584973692575071,0.0,136.54774854847437,136.54774854847437,37.753614047632645,837806.0,837675.0,MAOS
bch2762,2762,133.1433558450785,64.09900743199383,0.4814285100833529,1.0,362.6086044207997,361.6086044207997,131.0953851209111,0.1852665627259614,-0.6633638728628308,0.5108509309271478,5.249095843241002e-07,2074,49.04,1,187.52585330292737,90.28029215773785,0.4814285100833534,1.4084507042253522,510.7163442546474,509.3078935504221,184.64138749424097,0.1852665627259639,-0.6633638728628357,138.53346485418308,49.58702627058897,0.3579425832074803,5.853733239907082,265.24434647074884,259.3906132308418,141.6914425562372,-0.2565131854800638,-0.4572901474081292,185.8874361708093,160.34351709678552,2.8618072183306373,1.9497485684223912,0.68129975909409,1.4084507042253522,20.16594515954416,18.75749445531881,2.8169014084507045,1.8142761214903516,1.1919296232261536,0.6569725573233217,0.0,3.141592653589793,3.141592653589793,1.892546881191539,3.889621748234792,2.5444467679898404,0.654163035041794,1.4084507042253522,20.16594515954416,18.75749445531881,3.1493915176053378,2761,7.508884678191071e-06,1.999275887038378,0.5980896911849369,0.2991531559313284,1,4,3,2.0,134647.8873239437,132975.60007934936,1435.5826691668976,0.003258508327299,159.50918546298865,114.29088882600595,0.7165160331943718,94,0.0677045619116582,0.0340333091962346,0.8504706734250543,0.0818247646632874,27.3936170212766,45.37438073784246,1.656385160915414,29.664225054801044,33.006105300507215,1.1126569205678711,0.1532192375269248,162.16237410843758,162.00915487091066,16.668976144714655,8234.0,8236.6,LKH
bck2217,2217,131.9697575885525,73.20359568300371,0.5546997813789546,1.0,355.78785814021256,354.78785814021256,121.6552506059644,0.4463174240350095,-0.6270631688525898,0.5505056596393152,8.149228675505863e-07,1676,33.24,1,162.9256266525338,90.3748094851898,0.5546997813789555,1.2345679012345678,439.2442693089044,438.0097014076698,150.19166741477085,0.4463174240350134,-0.6270631688525903,121.74187591313664,50.27192498209856,0.4129386425585211,3.1919658978977568,226.8234211907641,223.6314552928664,122.46551977661407,-0.1375586800136514,-0.8966013712495067,199.00666310112751,93.64386950127012,2.49311967179738,1.6143676759682195,0.6475291556318932,1.2345679012345678,13.296703227492602,12.062135326258034,2.469135802469136,1.774140811732392,1.1597676169253746,0.6537066332366811,0.0,3.141592653589793,3.141592653589793,1.8157749899217637,3.4945299648293857,2.1683804062188243,0.6205070289974439,1.2345679012345678,18.51851851851852,17.283950617283953,2.7605777499997406,2216,9.671843235163336e-06,1.9990978800180423,0.5961832428631592,0.298226139311287,1,4,3,2.0,82962.96296296295,80727.7853985673,1171.0321009667612,0.0063148398737032,83.64515006905437,69.51759554299252,0.8311013308673766,48,0.0478123590437528,0.0216508795669824,0.900766801984664,0.0514208389715832,43.97916666666666,49.56960156492642,1.1271155258723204,25.171364639553268,19.11625046942605,0.7594443425362621,0.423343122769195,101.44940589977637,101.02606277700716,19.923306788907784,6765.0,6765.6,ANY
bcl380,380,67.3319691633003,33.97222772880918,0.5045482576993449,1.0,175.55910685578235,174.55910685578235,64.40496875241847,0.3758104711702726,-0.4739913474829254,0.5309014253605283,2.792087224804903e-05,133,26.93,1,161.27417763664744,81.37060533846511,0.5045482576993449,2.395209580838324,420.5008547443889,418.1056451635506,154.26339820938554,0.3758104711702721,-0.4739913474829262,118.48088569996392,47.27049202483415,0.3989714606332365,6.397163049239413,215.7709140024404,209.37375095320095,118.28657137233996,-0.1340750742293029,-0.7463047119809745,104.5992447822032,196.26814971639828,6.754527479854256,5.067700585303222,0.7502672245272395,2.395209580838324,36.00789551706086,33.61268593622253,5.355851443113268,1.7845765748905231,1.1052689349749982,0.6193451995988472,0.0,3.141592653589793,3.141592653589793,1.934117497135763,9.312830247109227,5.982669402697256,0.64241151657997,2.395209580838324,36.00789551706086,33.61268593622253,7.18562874251497,379,0.0001519555701112,1.9947368421052631,0.5524811825426382,0.2769694582667579,1,4,3,2.0,94850.2994011976,88135.10703144608,1150.8885159246106,0.0368421052631578,82.20632256604361,65.64182620845543,0.798500944446451,4,0.0447368421052631,0.0105263157894736,0.9,0.0552631578947368,90.75,139.4693066592073,1.5368518640133035,101.7975125792614,48.64881556241148,0.4778978810954012,1.3389628607783348,207.67711971889955,206.3381568581212,107.48008734500796,1621.0,1621.0,ANY
beg3293,3293,160.9143734759495,84.8804054129627,0.5274880272000627,1.0,446.8388971430308,445.8388971430308,151.09268678529745,0.4512099914770752,-0.4564875548983087,0.5416626515187597,3.692090029400113e-07,2749,115.0,1,160.1138044536809,84.45811483876884,0.5274880272000633,0.9950248756218906,444.6158180527669,443.620793177145,150.34098187591783,0.4512099914770826,-0.4564875548982972,118.02789832255505,49.48979520724077,0.4193059091164322,4.438330848061399,226.68082712422984,222.2424962761684,114.94852193870548,-0.0240207492972844,-0.8596237172249293,104.32527520357002,202.61420721423212,1.9482891251521064,1.3342474171191132,0.6848302954085144,0.9950248756218906,17.176792538937384,16.181767663315494,1.9900497512437807,1.8506552904860052,1.234354790747999,0.6669825532035423,0.0,3.141592653589793,3.141592653589793,2.214297435588184,2.721162171989197,1.8110163779341928,0.6655304842086355,0.9950248756218906,22.885572139303484,21.890547263681597,2.224943261193821,3292,5.1606441360525256e-06,1.9993926510780444,0.5646749641643504,0.2824232468094176,1,4,3,2.0,86766.16915422885,85922.62567758223,1204.50661058796,0.0030367446097783,120.450661058796,129.32411430353142,1.0736687799530134,23,0.030671120558761,0.0069845126024901,0.9252960825994534,0.0440327968417856,138.7826086956522,481.4983820029466,3.469443228717973,83.25740811211263,53.29119347762216,0.6400774980391101,0.2842928216062148,231.54613030051948,231.2618374789133,79.32988812566853,9772.0,9774.5,LKH
bgb4355,4355,161.5330175379577,78.78795058516431,0.4877513698810857,1.0,447.1028964343666,446.1028964343666,157.87653403846943,0.2710223045173012,-0.5274999594562253,0.516805974707278,2.110488059861039e-07,3368,33.24,1,170.03475530311363,82.93468482648879,0.4877513698810852,1.0526315789473684,470.6346278256491,469.58199624670175,166.18582530365202,0.2710223045172912,-0.5274999594562417,125.0882602114406,47.36884128755315,0.3786833489208668,2.133989775464947,241.8914987936613,239.75750901819637,126.99019383687396,-0.1626504939653869,-0.4872343804374734,134.48250852210998,206.32521819017015,2.122168154232264,1.2775696076552892,0.6020114876888608,1.0526315789473684,12.805815853259409,11.75318427431204,2.1052631578947367,1.7865879349676408,1.1967188492602865,0.669834843187812,0.0,3.141592653589793,3.141592653589793,1.5707963267948966,2.8555608160809305,1.6195714501703864,0.56716405444768,1.0526315789473684,12.805815853259409,11.75318427431204,2.3537557657892525,4354,3.856140694447553e-06,1.999540757749713,0.6019484401284045,0.3010433459760222,1,4,3,2.0,105684.2105263158,104757.3407202216,1304.7657888204203,0.0020665901262916,144.9739765356023,138.95256543543772,0.9584655726216776,112,0.0615384615384615,0.0257175660160734,0.8672789896670494,0.071182548794489,36.49107142857143,61.80918152087611,1.6938165721404757,27.434902593483923,24.81253529186697,0.9044149220985463,0.1754385964912899,115.8178339280762,115.64239533158492,18.17043524313542,12729.0,12727.2,MAOS
bgd4396,4396,231.26989878860485,145.7274431739804,0.6301185062876876,1.0,692.9249598621773,691.9249598621773,204.1984329028996,0.6932640401662755,-0.2767330369625989,0.5620601678884692,2.071290719633713e-07,3392,115.0,1,136.84609395775448,86.22925631596478,0.6301185062876874,0.591715976331361,410.0147691492173,409.42305317288594,120.82747509047311,0.6932640401662707,-0.2767330369626131,99.72621136306796,55.97209510202702,0.5612576105819598,0.0432183196982153,207.3413447952817,207.29812647558356,95.5923578742852,0.1600233064701887,-1.3212444211588812,43.78725151631436,200.54849849546545,1.1418038049089752,0.9866451979747792,0.8641109739982299,0.591715976331361,15.62175003839537,15.030034062064008,0.836812758800648,1.7954883396857144,1.2433001264316474,0.6924579229789245,0.0,3.141592653589793,3.141592653589793,2.03444393579572,1.6072291417407851,1.2098751555399183,0.7527707929869328,0.591715976331361,15.62175003839537,15.030034062064008,1.3231171464495797,4395,2.671556353294624e-06,1.999545040946315,0.5691490483485844,0.2846392737816128,1,4,3,2.0,41893.49112426036,41732.08221000666,997.1707752908868,0.0020473157415832,110.79675281009852,149.8108691830211,1.352123283249928,5,0.0077343039126478,0.0011373976342129,0.9845313921747044,0.0077343039126478,872.4,1736.8,1.9908298945437872,99.0381449272778,56.142790016652185,0.5668804687110909,0.2958579881656646,202.6484942900186,202.35263630185293,94.68220814149674,13009.0,13012.3,LKH
bgf4475,4475,235.7740529087339,148.0952177098715,0.6281234761960761,1.0,683.5268831582266,682.5268831582266,205.2729889683492,0.593209340049204,-0.5629528937785184,0.5640869505514685,1.9987805439901122e-07,3416,49.65,1,140.3416981599606,88.15191530349495,0.6281234761960763,0.5952380952380952,406.8612399751349,406.26600187989686,122.1863029573507,0.593209340049206,-0.5629528937785175,105.44168410405771,51.1102522579553,0.4847253028272565,0.6010052945957546,205.1384193832095,204.53741408861376,102.40141379416764,0.079706608686097,-1.0884745537742184,47.80198288524132,200.5724876003153,1.1793123208672862,0.9084344678850548,0.7703086381875301,0.5952380952380952,14.3352316414194,13.739993546181305,0.8417937871268424,1.804234603521564,1.2322001493663397,0.6829489618264117,0.0,3.141592653589793,3.141592653589793,2.0576955586061585,1.639859305516749,1.1607395176220383,0.7078287226941512,0.5952380952380952,14.3352316414194,13.739993546181305,1.330992843749875,4474,2.611312689799012e-06,1.9995530726256985,0.5565253549003707,0.2783248729525211,1,4,3,2.0,42142.857142857145,41848.604024943306,992.7288686783904,0.0022346368715083,99.27288686783903,138.91197905096217,1.3992942427059083,4,0.0107262569832402,0.0008938547486033,0.9854748603351956,0.0037988826815642,1106.75,1867.9549479310251,1.6877840053589568,102.36218463967172,51.78301429510593,0.5058803158352757,0.113378684807202,204.22055043879,204.1071717539828,99.59587227447018,13221.0,13224.6,LKH
bnd7168,7168,225.65415569895245,119.22861376065586,0.5283687924618592,1.0,641.78656888408,640.78656888408,211.25576915199264,0.4953585258151139,-0.356984689329523,0.5452738485198289,7.788355792809641e-08,6547,115.0,1,155.6235556544499,82.22663017976274,0.5283687924618599,0.6896551724137931,442.6114268166069,441.92177164419314,145.69363389792596,0.4953585258151164,-0.3569846893295296,113.86329777825836,50.22890625084838,0.4411334225420559,2.437179839687505,230.5694980681301,228.13231822844256,111.90729367859682,0.0037857275470943,-0.8927808342912615,107.76692022343865,205.2694581968117,1.446394708897264,0.8850907239721616,0.6119289005467654,0.6896551724137931,9.380324488783064,8.690669316369272,1.3793103448275863,1.7547711804751778,1.1987273359020834,0.683124585837726,0.0,3.141592653589793,3.141592653589793,1.8157749899217548,1.93875775756581,1.1195935521968832,0.5774798567937538,0.6896551724137931,10.344827586206897,9.655172413793103,1.950639396376683,7167,1.737901307742605e-06,1.9997209821428568,0.6123723721307449,0.3062289077321877,1,4,3,2.0,81931.03448275862,81559.80975029725,1193.1938826974729,0.0012555803571428,132.577098077497,141.827556207458,1.0697741786786863,105,0.0281808035714285,0.0146484375,0.9280133928571428,0.0438058035714285,66.34285714285714,92.30981256940476,1.3914054435526129,29.75437677436,25.34139685888207,0.8516863603313416,0.1365208662209813,140.5535456780427,140.4170248118217,22.04138286299237,21834.0,21838.9,LKH
