instance,feat_n,feat_k_min,feat_capacity,feat_dist_mean,feat_dist_sd,feat_dist_CV,feat_dist_min,feat_dist_max,feat_dist_range,feat_dist_median,feat_dist_skew,feat_dist_kurt,feat_dist_lt_mean,feat_dist_distinct,feat_dist_mode_freq,feat_dist_mode_value,feat_dist_mode_quantity,feat_norm_dist_mean,feat_norm_dist_sd,feat_norm_dist_CV,feat_norm_dist_min,feat_norm_dist_max,feat_norm_dist_range,feat_norm_dist_median,feat_norm_dist_skew,feat_norm_dist_kurt,feat_depot_dist_mean,feat_depot_dist_sd,feat_depot_dist_CV,feat_depot_dist_min,feat_depot_dist_max,feat_depot_dist_range,feat_depot_dist_median,feat_depot_dist_skew,feat_depot_dist_kurt,feat_depot_coord_X,feat_depot_coord_Y,feat_depot_nn_mean,feat_depot_nn_sd,feat_depot_nn_CV,feat_dist_centroid_mean,feat_dist_centroid_sd,feat_dist_centroid_CV,feat_dist_centroid_min,feat_dist_centroid_max,feat_dist_centroid_range,feat_dist_centroid_median,feat_dist_centroid_skew,feat_dist_centroid_kurt,feat_centroid_coord_X,feat_centroid_coord_Y,feat_depot_centroid_dist,feat_demand_mean,feat_demand_sd,feat_demand_CV,feat_demand_min,feat_demand_max,feat_demand_range,feat_demand_median,feat_demand_to_capacity,feat_min_vehicles_gap,feat_customers_to_vehicle,feat_nn_dist_mean,feat_nn_dist_sd,feat_nn_dist_CV,feat_nn_dist_min,feat_nn_dist_max,feat_nn_dist_range,feat_nn_dist_median,feat_nn_dist_skew,feat_nn_dist_kurt,feat_nn_depot_prop,feat_nn_angle_mean,feat_nn_angle_sd,feat_nn_angle_CV,feat_nn_angle_min,feat_nn_angle_max,feat_nn_angle_range,feat_nn_angle_median,feat_mst_dists_mean,feat_mst_dists_sd,feat_mst_dists_CV,feat_mst_dists_min,feat_mst_dists_max,feat_mst_dists_range,feat_mst_dists_median,feat_mst_dist_len,feat_mst_dist_sum,feat_mst_degree_mean,feat_mst_degree_sd,feat_mst_degree_CV,feat_mst_degree_min,feat_mst_degree_max,feat_mst_degree_range,feat_mst_degree_median,feat_rect_area,feat_chull_area,feat_chull_perimeter,feat_chull_points_frac,feat_chull_depot,feat_chull_edges_mean,feat_chull_edges_sd,feat_chull_edges_CV,feat_cluster_count,feat_cluster_outlier_prop,feat_cluster_count_rel_vehicle,feat_cluster_count_rel_nodes,feat_cluster_core_prop,feat_cluster_edge_prop,feat_cluster_size_mean,feat_cluster_size_sd,feat_cluster_size_CV,feat_cluster_centroid_dist_mean,feat_cluster_centroid_dist_sd,feat_cluster_centroid_dist_CV,feat_cluster_centroid_dist_min,feat_cluster_centroid_dist_max,feat_cluster_centroid_dist_range,feat_cluster_centroid_dist_median,perf_ortools,perf_LKH3,perf_HILS,perf_KGLS,perf_SISR,perf_FILO,perf_HGS-2012,perf_HGS-CVRP
X-n101-k25,100,25,206,513.4141713417064,255.8592336684132,0.4983486003118607,1.0,1265.0584966712013,1264.0584966712013,508.6128114755713,0.1892751524266489,-0.5707002659767251,0.5056565656565657,0.0004040404040404,3,462.4177777777778,9,519.124541295962,258.7049885423794,0.4983486003118607,1.0111223458038423,1279.1289147332673,1278.1177923874634,514.269779045067,0.1892751524266487,-0.5707002659767255,455.0593254255106,171.71465892919366,0.3773456543685355,148.36303991526535,883.7417540172199,735.3787141019545,442.9136467715352,0.1776947599315659,-0.7885384125609161,364.0040444893832,691.6076845298281,238.9739848576388,47.34377658218334,0.1981126799655071,373.0634139331781,165.3810044061522,0.4433053422809632,57.87022428139064,666.8731018411938,609.0028775598032,402.8361708814633,-0.2166868341853073,-1.1686141060688058,545.2173913043478,498.7360970677452,264.6464175348393,0.2498543689320388,0.1393811900071742,0.5578497210312393,0.0048543689320388,0.4854368932038835,0.4805825242718446,0.2572815533980582,0.9994174757281552,0.0,4.0,49.24720079234014,34.548132004341426,0.7015247861501808,1.0111223458038423,155.79489125540394,154.7837689096001,42.14088166668293,0.8538003221044262,0.4023531364717612,0.0,1.497322119241659,1.0023601364484769,0.6694352027312179,0.0052008987323212,3.0887738241963514,3.08357292546403,1.512106742404573,63.94765134506015,39.14751469041182,0.6121806488118331,1.0111223458038423,190.15552978277265,189.1444074369688,56.61375076275761,100,0.001222627828526,1.98019801980198,0.6445536950003878,0.3254996159751959,1,4,3,2.0,972773.3071879656,909634.3908371256,3634.242441405031,0.1287128712871287,False,279.5571108773101,223.82292574172777,0.8006339922433863,5,0.34,0.2,0.05,0.56,0.0999999999999999,13.2,8.49470423263812,0.643538199442282,90.79288366046477,50.43182418354005,0.5554600994075519,8.071796403409017,209.29003809231085,201.21824168890183,82.1991771326779,27977.2,27639.2,27591.0,27631.9,27593.3,27591.0,27591.0,27591.0
X-n106-k14,105,14,600,343.6356041377262,211.46938952111032,0.6153884724830644,2.0,934.550694184109,932.550694184109,308.05838614280395,0.3255202674105418,-1.0442910490346498,0.5386446886446886,0.0003663003663003,4,152.94,3,343.6356041377262,211.46938952111032,0.6153884724830644,2.0,934.550694184109,932.550694184109,308.05838614280395,0.3255202674105418,-1.0442910490346498,868.1604875537411,219.59418468094475,0.2529419247122225,432.9168511388763,1318.1380807790963,885.2212296402201,853.2959627233683,0.2562106822386775,-1.0755022309082285,0.0,0.0,573.5005513317892,57.21241542949048,0.0997600007473945,260.8389187598511,112.20589736507831,0.4301731424840935,19.211846779769576,569.605034262066,550.3931874822965,237.6613433108304,0.5949432204595484,-0.1353737692392154,778.2571428571429,340.0190476190476,849.2921365183639,0.1248253968253968,0.0259353324907041,0.2077728823644918,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.1266666666666666,0.9361904761904762,0.0,7.5,35.32801842162738,48.078228129388606,1.3609092804354888,2.0,432.9168511388763,430.9168511388763,23.5433963806152,5.75816644220242,42.43416797050788,0.0,1.418550576872856,0.9288761946963172,0.6548065397456547,0.0,3.0685520882866726,3.0685520882866726,1.2344188192473564,41.20414534754802,48.08166987123792,1.1669134128539609,2.0,432.9168511388763,430.9168511388763,31.0,105,0.0010995271217906,1.981132075471698,0.7134969962712845,0.3601461028797912,1,4,3,2.0,868000.0,491631.0,3139.791667169813,0.0754716981132075,True,392.4739583962267,211.64402184044067,0.5392562164004088,1,0.019047619047619,0.0714285714285714,0.0095238095238095,0.8952380952380953,0.0857142857142856,103.0,0.0,0.0,259.5127018256119,113.57779050362834,0.4376579246589274,24.893177377566403,570.6155596212678,545.7223822437014,238.0868536723552,26757.5,26406.8,26391.1,26413.2,26380.9,26373.3,26408.8,26381.4
X-n110-k13,109,13,66,514.2336787651321,242.91160347567097,0.472375912948745,4.242640687119285,1278.0723766672995,1273.8297359801804,502.98856771571855,0.1918554725958549,-0.6414217207030473,0.5166496772001359,0.000339789330615,4,310.96500000000003,2,514.2336787651321,242.91160347567097,0.472375912948745,4.242640687119285,1278.0723766672995,1273.8297359801804,502.98856771571855,0.1918554725958549,-0.6414217207030473,380.8644796245143,133.51201882048773,0.3505499356414497,57.27128425310541,671.6107503606535,614.3394661075481,390.03204996512784,-0.2431099265067529,-0.4380076512320001,500.0,500.0,149.38938099005563,50.98685125847795,0.3413017104734638,376.2388960028019,136.68128800747022,0.363283247584408,50.289486025209456,682.2535750449099,631.9640890197004,394.8699534164403,-0.2686654026159577,-0.3360010481234661,531.348623853211,540.7798165137615,51.43665669914956,0.1134278565471225,0.0278863021036942,0.2458505604583045,0.0757575757575757,0.1515151515151515,0.0757575757575757,0.106060606060606,0.951048951048951,0.0,8.384615384615385,51.804261295021206,27.46568706991729,0.5301820040151207,4.242640687119285,127.283148923964,123.04050823684472,46.87216658103186,0.8487722012669983,0.3967340510109385,0.0091743119266055,1.5421146681124296,0.9228409396321764,0.5984256285959247,0.0374824366916659,3.055800388425302,3.0183179517336365,1.490370919155224,65.24243617860164,30.14358191481898,0.4620241621925445,4.242640687119285,132.38202294873727,128.13938226161798,61.07372593840988,109,0.0011588567340736,1.981818181818182,0.6603279926303591,0.3331930238043096,1,4,3,2.0,973000.0,885637.5,3572.694317880577,0.109090909090909,False,297.72452649004805,140.80816616805288,0.4729478213571351,5,0.2477064220183486,0.3846153846153846,0.0458715596330275,0.5596330275229358,0.1926605504587156,16.4,11.110355529864918,0.6774607030405438,165.39363846139548,89.07500663678758,0.5385636803532716,9.34784849407306,365.97240221589584,356.6245537218228,161.09550916741892,15099.8,14993.9,14971.0,14971.0,14972.1,14971.0,14971.0,14971.0
X-n115-k10,114,10,169,501.4644763458902,239.08123118198344,0.4767660371959722,5.0,1262.0003961964512,1257.0003961964512,487.110870336518,0.2587298982086868,-0.5694846961004618,0.5188635305076852,0.0003105107902499,3,382.4895652173913,23,508.5846616084079,242.4758936936952,0.4767660371959722,5.070993914807302,1279.9192659193218,1274.8482720045145,494.0272518625943,0.2587298982086873,-0.5694846961004605,372.6974705384751,144.38539312775407,0.3874064208676956,58.80604062606176,688.4983138116534,629.6922731855916,381.4530494510068,-0.0608805122722946,-0.7620177337881868,492.9006085192698,492.9006085192698,120.78069846144948,34.24970455474323,0.2835693533075152,368.6127976127216,146.4879742627556,0.3974033869997682,59.03828100125891,648.8701470088916,589.8318660076327,381.264187327649,-0.0957146615894911,-0.865375731255293,541.4042204903736,500.88964805522943,49.15714726212797,0.0796740371639157,0.1426660159648747,1.790621148911581,0.0059171597633136,0.5857988165680473,0.5798816568047337,0.0355029585798816,0.908284023668639,0.0,11.4,53.86045816455722,27.132759914453157,0.503760287956626,5.070993914807302,148.8386386446451,143.7676447298378,50.63889546782932,1.1428408544413071,1.687030732998668,0.0087719298245614,1.5979765184982802,0.8990960387122748,0.5626465897992121,0.0152098181867285,3.141592653589793,3.1263828354030645,1.5216220574634545,66.50197529353586,31.04616142591508,0.4668457032874455,5.070993914807302,149.5040467467815,144.4330528319742,61.778790520272345,114,0.0011423421432781,1.982608695652174,0.6722138466117457,0.3390552296506611,1,3,2,2.0,992900.6085192696,920342.708671914,3633.321200324,0.1043478260869565,False,302.7767666936668,150.28163029462775,0.4963446566118946,9,0.2105263157894736,0.9,0.0789473684210526,0.5701754385964912,0.2192982456140351,10.0,12.463279397226612,1.2463279397226612,129.7094380579268,100.735761740672,0.7766263060648256,7.961621941230966,460.9901136596978,453.0284917184668,91.85753769485464,12808.3,12747.0,12747.0,12747.1,12747.0,12747.0,12747.0,12747.0
X-n120-k6,119,6,21,510.9431539998302,245.05683792478143,0.4796166383802118,4.47213595499958,1219.498667485947,1215.0265315309473,499.9649987749143,0.1627525117448723,-0.7145265337130788,0.5168779376157242,0.0002848597065945,3,374.285,24,515.0636633062803,247.03310274675556,0.479616638380212,4.508201567539898,1229.3333341592208,1224.825132591681,503.9969745714862,0.1627525117448738,-0.7145265337130788,724.7732694007572,308.4301695053892,0.42555400775252,132.70509865938726,1331.1678011976437,1198.4627025382565,718.8864221525226,-0.0574640479941241,-1.0003681978551209,0.0,0.0,181.96193170629704,33.53233349204219,0.1842821362556559,374.44590381354544,146.89164486804918,0.3922906977270435,22.459054785260957,657.3837561112103,634.9247013259494,393.51692390516695,-0.4880553006597498,-0.2515628650395851,455.4587964217946,501.1944293846571,677.2285960325374,0.0476190476190476,0.0,0.0,0.0476190476190476,0.0476190476190476,0.0,0.0476190476190476,0.9444444444444444,0.0,19.83333333333333,46.23095933886346,26.584379001636744,0.5750341195989184,4.508201567539898,141.81859189571753,137.31039032817765,48.09217920111517,0.7766623958055946,0.9254457339099798,0.0,1.606288866820176,0.9357040976682834,0.5825254205494257,0.026513122840866,3.1313889260958336,3.104875803254968,1.577007187455873,60.24290227143174,31.37309516903227,0.5207766224090096,4.508201567539898,141.81859189571753,137.31039032817765,57.95275141856778,119,0.0009681142484396,1.9833333333333332,0.6322358912796886,0.3187743989645488,1,4,3,2.0,971774.193548387,882252.5770681581,3592.6592981776585,0.1,True,299.3882748481382,232.2844556733593,0.7758635697780193,6,0.2605042016806723,1.0,0.0504201680672268,0.5714285714285714,0.1680672268907563,14.666666666666666,16.418147141366333,1.1194191232749773,139.33714968836247,88.86707410320581,0.6377844982616868,4.8147613847133215,354.3406258224019,349.52586443768854,121.53815347154594,13501.9,13332.8,13333.7,13332.0,13332.0,13332.0,13332.0,13332.0
X-n125-k30,124,30,188,456.0063679762815,272.84170114957146,0.5983287083476934,3.1622776601683795,1124.9195526792128,1121.7572750190443,455.7778970144982,0.0765588098888617,-1.2765668404636916,0.5001311303435615,0.000262260687123,4,406.58,2,461.0782284896679,275.8763408994656,0.5983287083476932,3.1974496058325377,1137.4312969456146,1134.233847339782,460.84721639484144,0.0765588098888616,-1.276566840463692,863.206409717195,212.74611408012044,0.2464603039148199,317.9043266413205,1167.1054601266774,849.2011334853569,955.8577591429752,-0.6936430886078343,-0.6752832117745311,1000.0,954.4994944388272,543.7924252787233,95.10737601011644,0.1748964707652349,362.4076771153895,108.84393970521135,0.300335634640973,75.73916367972213,684.6012930184728,608.8621293387507,347.18141019173873,0.4146853902770964,0.5253925062056881,362.8053752568577,463.3957402394077,804.4873443319775,0.2374742621825669,0.1558185785988731,0.6561493324235786,0.0053191489361702,0.5319148936170213,0.526595744680851,0.2074468085106383,0.9815602836879432,0.0,4.133333333333334,36.38145177930152,43.71433113648314,1.201555435491266,3.1974496058325377,317.9043266413205,314.70687703548793,24.62243814334868,3.9865776571317975,19.98055720606057,0.0,1.4660384526689372,0.8734079110880612,0.5957605746957139,0.0583950723706211,3.133045853157184,3.074650780786563,1.428899272190732,43.37611536270936,46.01072892740983,1.0607388085048637,3.1974496058325377,317.9043266413205,314.70687703548793,27.917488609562533,124,0.0007422455798486,1.984,0.6926355463012276,0.3491106584179574,1,4,3,2.0,955510.616784631,777101.7082753566,3389.2718406693666,0.072,True,376.5857600743741,258.91528643506814,0.6875333958032123,5,0.0725806451612903,0.1666666666666666,0.0403225806451612,0.8306451612903226,0.096774193548387,23.0,23.49468024894146,1.0215078369104982,108.67295261562754,72.33040080959503,0.6655786841959209,1.3028013225536614,313.66950943542184,312.3667081128682,101.27228246241005,56853.4,55907.4,55846.5,55740.8,55559.8,55693.7,55539.0,55539.0
X-n129-k18,128,18,39,467.7148412124763,228.166394252274,0.4878322733159138,4.47213595499958,1194.3018881338169,1189.8297521788172,453.4418375047632,0.2246863335998375,-0.6687863075912528,0.5218996062992126,0.0002460629921259,4,486.825,2,468.6521455034832,228.6236415353447,0.4878322733159139,4.481098151302184,1196.6952786911993,1192.2141805398971,454.350538581927,0.2246863335998382,-0.6687863075912532,699.7992541013646,258.36022459434423,0.3691919119378216,136.3498837477646,1316.9233886972866,1180.573504949522,680.7580119060028,-0.0051482789938697,-0.7192479304152615,0.0,0.0,289.6883607514008,61.93987748551299,0.2138155544974323,338.49943207861565,142.50548238705025,0.4209917916611266,7.969251522679474,667.6416755709588,659.6724240482794,356.3988891782617,-0.3890062451956325,-0.2329031884274055,488.7744238476954,427.409506513026,649.2914011946832,0.133213141025641,0.0753756340687849,0.5658273161975552,0.0256410256410256,0.2564102564102564,0.2307692307692307,0.1282051282051282,0.9472934472934472,0.0,7.111111111111111,46.94078995990947,32.82971678773451,0.6993856902658275,4.481098151302184,184.62178765544024,180.14068950413804,39.47437996711865,1.3650069951971424,2.419887983046386,0.0,1.4809704739730678,0.9870175052802976,0.6664667004686328,0.0153049273241873,3.11746460681442,3.102159679490233,1.4247840690836209,57.28673779937505,34.37698277490575,0.6000862345364825,4.481098151302184,184.62178765544024,180.14068950413804,51.750757557566175,128,0.0009403844825765,1.984496124031008,0.6347128524173247,0.3198357732884175,1,3,2,2.0,992985.971943888,896835.2536736801,3627.00843548124,0.0620155038759689,True,453.376054435155,135.89546309430682,0.2997411569598974,6,0.1640625,0.3333333333333333,0.046875,0.7265625,0.109375,17.833333333333332,23.075359633648667,1.2939454000176824,169.8620698054343,113.55833822192008,0.6685326415249361,6.275315373432188,470.0327031138802,463.757387740448,158.17329383739545,29722.3,29083.3,28972.1,28971.6,28948.9,28948.4,28940.0,28940.0
X-n134-k13,133,13,643,275.588853826382,171.41229692024447,0.6219855939029827,2.8284271247461903,899.8027561638162,896.97432903907,237.0284792428725,0.6123304365050243,-0.4795670763620441,0.5765550239234449,0.0002278423331054,5,169.32666666666668,3,286.47490002742404,178.18326083185497,0.6219855939029828,2.940152936326601,935.3459003781874,932.4057474418609,246.39135056431653,0.612330436505025,-0.4795670763620432,364.7378058836681,191.2192557425698,0.5242649724211987,44.49258744081641,896.0625580960647,851.5699706552482,293.7542391651902,1.0112817839594257,-0.0314278862131134,114.34511434511435,199.5841995841996,134.09289508645145,43.28604521163184,0.3228064036034479,207.92435458683664,115.1006088924275,0.553569634115937,27.206067376989864,566.089876376276,538.8838089992862,182.44556707136556,0.7625533735324876,-0.0814108568258764,450.6745033060824,200.15475278633184,336.32987290726135,0.0961189911013926,0.0399783920260295,0.4159260471622894,0.0046656298600311,0.1555209953343701,0.150855365474339,0.1026438569206843,0.9833712166527095,0.0,10.23076923076923,23.567518752739645,20.058149449255097,0.8510929665399505,2.940152936326601,117.70255168439422,114.76239874806762,17.671517671517673,2.327613037864137,6.257293319389524,0.0075187969924812,1.5178754888872303,0.9096571168214188,0.5992962686868984,0.04680721320073,3.141592653589793,3.094785440389063,1.5808878369020554,30.629048449620075,25.139121825144795,0.8207607842109317,2.940152936326601,132.6209424105452,129.6807894742186,22.963328518060838,133,0.0007946481783553,1.985074626865672,0.6462876147645064,0.3255734600693378,1,3,2,2.0,438479.25968508096,326066.1909310557,2297.91197015988,0.0746268656716417,False,229.791197015988,119.71541505604831,0.5209747658336928,2,0.0676691729323308,0.1538461538461538,0.0150375939849624,0.8947368421052632,0.037593984962406,62.0,40.0,0.6451612903225806,117.14355257874688,68.42439382493028,0.5841072113544931,8.420854585284987,275.7354572024812,267.3146026171962,100.5669099740735,11171.0,10970.6,10947.5,10940.5,10937.7,10927.9,10916.0,10916.0
X-n139-k10,138,10,106,509.1092373218324,240.14647924900237,0.4716993164616147,5.0,1252.1221985093946,1247.1221985093946,499.3245437588663,0.1924607395758945,-0.6462136034373653,0.5139109277478049,0.0002115730455939,4,311.52,2,512.1823313096905,241.5960555824973,0.4716993164616148,5.030181086519114,1259.6802801905378,1254.6500991040186,502.33857521012703,0.1924607395758943,-0.6462136034373667,372.84970093191606,142.6176059530424,0.3825069608385846,5.030181086519114,660.7789549385589,655.7487738520398,393.42325912565866,-0.3321170519197074,-0.5088048188016514,497.98792756539234,497.98792756539234,89.06946116469315,47.56270604130778,0.5339956638264864,372.6623803040238,142.51488787975887,0.3824235968317837,4.922988884714528,655.5933949962279,650.6704061115133,386.7279178942948,-0.3328879079309505,-0.5331832077846519,510.3957075788061,501.85897996675686,12.997617149130871,0.0710281651627016,0.0164656056770993,0.2318179786762363,0.0471698113207547,0.0943396226415094,0.0471698113207547,0.0754716981132075,0.980188679245283,0.0,13.8,44.77273974082864,24.82710454540188,0.5545138557326622,5.030181086519114,109.91147109656067,104.88129001004155,40.26659174283602,0.582041162754543,-0.1949176479925873,0.0072463768115942,1.5583982702388033,0.9239571460144328,0.5928889704637884,0.0258307634139148,3.1232000790294303,3.0973693156155155,1.3902854883798448,59.00357850485431,29.301181433846764,0.4966000736961422,5.030181086519114,146.31516267764863,141.2849815911295,58.22771527283785,138,0.0008320361808097,1.985611510791367,0.6992864967034744,0.3521768950789237,1,3,2,2.0,989955.83156889,910297.802914064,3581.9328670813115,0.1151079136690647,False,223.870804192582,123.19364903483486,0.5502890360319567,8,0.3405797101449275,0.8,0.0579710144927536,0.5217391304347826,0.1376811594202898,11.375,4.181432170919432,0.3675984326083018,87.67279871140546,44.92082359225679,0.5123689930342441,8.541241560076902,198.62541858699137,190.0841770269145,81.02214968563568,13741.2,13654.9,13591.2,13590.0,13590.4,13590.0,13590.0,13590.0
X-n143-k7,142,7,1190,538.7127447647742,255.2177815843822,0.4737548611288592,8.246211251235321,1325.1584810882057,1316.9122698369702,529.1219141180981,0.1464680740238156,-0.6934982922480875,0.5133353311357507,0.000199780241734,4,583.965,2,541.4198439846978,256.5002829993791,0.4737548611288592,8.287649498728966,1331.8175689328698,1323.5299194341408,531.7808182091438,0.1464680740238153,-0.6934982922480866,784.807468991892,310.4276819390886,0.3955462889998256,76.54703125358638,1387.4443750621383,1310.8973438085525,820.2715687924908,-0.2770116625269657,-0.7447942020308358,0.0,0.0,156.57249364324093,51.8094883828695,0.3308977661230859,396.8699851379082,143.8551555711384,0.3624742635076075,75.41290632778829,697.7182770276466,622.3053706998584,427.0311828765921,-0.3703372292461023,-0.5764541354453208,494.3378866161797,538.2546535494373,730.8132580979739,0.0442360042608592,0.0243489942176067,0.5504338518917979,0.0016806722689075,0.0831932773109243,0.0815126050420168,0.045798319327731,0.897358943577431,0.0,20.285714285714285,43.422479103336826,21.738341315116216,0.5006241413205199,8.287649498728966,115.8397732182957,107.55212371956674,40.92316195276851,0.7564161969500364,0.4904775015826348,0.0,1.5431760284633604,0.9698382577381036,0.6284689755735993,0.0674082643902841,3.1338244482691127,3.0664161838788284,1.4695169786227331,55.99121753472183,28.51488030614192,0.5092741605138161,8.287649498728966,164.30854526782556,156.0208957690966,50.80035528956924,142,0.0007186670769953,1.986013986013986,0.6792222412077248,0.3420027482137487,1,3,2,2.0,998994.9748743718,956633.4183480216,3830.964224354405,0.0769230769230769,True,348.26947494130945,153.7705834054662,0.4415275942038265,11,0.2535211267605634,1.5714285714285714,0.0774647887323943,0.5774647887323944,0.1690140845070422,9.636363636363637,5.740964874126162,0.5957605058055451,78.75728784937117,41.23188788350241,0.5235310789569251,4.761363619280425,192.3571048031613,187.59574118388085,73.34385447845881,16135.6,15767.8,15735.7,15730.6,15727.8,15723.8,15700.0,15700.0
